max_pred,PSZ2,MCXC,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.1,0.9827586206896551,0.4,0.07682119205298013,0.523972602739726,153,1.0,0.136986301369863,40,0.5333333333333333,156,0.5342465753424658,292
0.15,0.9655172413793104,0.37142857142857144,0.06534216335540839,0.5627705627705628,130,1.0,0.17316017316017315,40,0.5111111111111111,133,0.5757575757575758,231
0.2,0.9310344827586207,0.35714285714285715,0.05783664459161148,0.59,118,0.975,0.195,39,0.4888888888888889,120,0.6,200
0.25,0.9310344827586207,0.35714285714285715,0.052538631346578366,0.6385542168674698,106,0.975,0.23493975903614459,39,0.4888888888888889,108,0.6506024096385542,166
0.3,0.9137931034482759,0.35714285714285715,0.04768211920529802,0.676056338028169,96,0.975,0.2746478873239437,39,0.4888888888888889,98,0.6901408450704225,142
0.35,0.8448275862068966,0.34285714285714286,0.04282560706401766,0.7083333333333334,85,0.925,0.30833333333333335,37,0.45555555555555555,86,0.7166666666666667,120
0.4,0.8103448275862069,0.34285714285714286,0.038852097130242826,0.7572815533980582,78,0.925,0.3592233009708738,37,0.45555555555555555,79,0.7669902912621359,103
0.45,0.8103448275862069,0.34285714285714286,0.03532008830022075,0.7954545454545454,70,0.925,0.42045454545454547,37,0.45555555555555555,71,0.8068181818181818,88
0.5,0.7758620689655172,0.32857142857142857,0.03399558498896247,0.8072289156626506,67,0.9,0.43373493975903615,36,0.43333333333333335,68,0.8192771084337349,83
0.55,0.7586206896551724,0.32857142857142857,0.032229580573951436,0.8767123287671232,64,0.9,0.4931506849315068,36,0.43333333333333335,65,0.8904109589041096,73
0.6,0.7413793103448276,0.32857142857142857,0.029580573951434878,0.8923076923076924,58,0.9,0.5538461538461539,36,0.43333333333333335,59,0.9076923076923077,65
0.65,0.6896551724137931,0.3,0.026931567328918323,0.8983050847457628,53,0.85,0.576271186440678,34,0.4,54,0.9152542372881356,59
0.7,0.6206896551724138,0.3,0.02384105960264901,0.9591836734693877,47,0.8,0.6530612244897959,32,0.37777777777777777,47,0.9591836734693877,49
0.75,0.5689655172413793,0.3,0.02119205298013245,1.0,41,0.725,0.7073170731707317,29,0.34444444444444444,41,1.0,41
0.775,0.5344827586206896,0.2714285714285714,0.019867549668874173,1.0,38,0.675,0.7105263157894737,27,0.32222222222222224,38,1.0,38
0.8,0.5,0.24285714285714285,0.016777041942604858,1.0,33,0.625,0.7575757575757576,25,0.28888888888888886,33,1.0,33
0.85,0.39655172413793105,0.22857142857142856,0.011920529801324504,1.0,24,0.575,0.9583333333333334,23,0.26666666666666666,24,1.0,24
0.9,0.3448275862068966,0.2,0.010154525386313467,1.0,20,0.5,1.0,20,0.23333333333333334,20,1.0,20
0.905,0.3275862068965517,0.2,0.009271523178807948,1.0,19,0.475,1.0,19,0.2222222222222222,19,1.0,19
0.95,0.2413793103448276,0.14285714285714285,0.006622516556291391,1.0,14,0.35,1.0,14,0.15555555555555556,14,1.0,14
