max_pred,PSZ2,MCXC,eROSITA,precision_eROSITA,found_eROSITA,PSZ2(z),precision_PSZ2(z),found_PSZ2(z),all_true,found,precision,all
0.1,0.896551724137931,0.37142857142857144,0.059602649006622516,0.5560747663551402,119,0.95,0.17757009345794392,38,0.4888888888888889,121,0.5654205607476636,214
0.15,0.8793103448275862,0.37142857142857144,0.053863134657836646,0.6294117647058823,107,0.925,0.21764705882352942,37,0.4777777777777778,109,0.6411764705882353,170
0.2,0.8620689655172413,0.37142857142857144,0.04856512141280353,0.6442953020134228,96,0.925,0.2483221476510067,37,0.4777777777777778,98,0.6577181208053692,149
0.25,0.8620689655172413,0.35714285714285715,0.045474613686534215,0.6617647058823529,90,0.925,0.27205882352941174,37,0.4666666666666667,92,0.6764705882352942,136
0.3,0.8620689655172413,0.34285714285714286,0.04282560706401766,0.68,85,0.925,0.296,37,0.45555555555555555,87,0.696,125
0.35,0.8448275862068966,0.34285714285714286,0.0423841059602649,0.7,84,0.925,0.30833333333333335,37,0.45555555555555555,86,0.7166666666666667,120
0.4,0.8103448275862069,0.32857142857142857,0.037969094922737305,0.6846846846846847,76,0.9,0.32432432432432434,36,0.43333333333333335,78,0.7027027027027027,111
0.45,0.7758620689655172,0.32857142857142857,0.03487858719646799,0.7368421052631579,70,0.9,0.37894736842105264,36,0.43333333333333335,72,0.7578947368421053,95
0.5,0.7586206896551724,0.32857142857142857,0.033554083885209716,0.7528089887640449,67,0.875,0.39325842696629215,35,0.4222222222222222,69,0.7752808988764045,89
0.55,0.7241379310344828,0.2857142857142857,0.03090507726269316,0.775,62,0.825,0.4125,33,0.3888888888888889,64,0.8,80
0.6,0.6896551724137931,0.2857142857142857,0.02913907284768212,0.8285714285714286,58,0.775,0.44285714285714284,31,0.36666666666666664,60,0.8571428571428571,70
0.65,0.6551724137931034,0.2857142857142857,0.026048565121412803,0.8225806451612904,51,0.75,0.4838709677419355,30,0.35555555555555557,53,0.8548387096774194,62
0.7,0.6206896551724138,0.2857142857142857,0.024282560706401765,0.8571428571428571,48,0.725,0.5178571428571429,29,0.34444444444444444,48,0.8571428571428571,56
0.75,0.6206896551724138,0.2857142857142857,0.023399558498896248,0.92,46,0.725,0.58,29,0.34444444444444444,46,0.92,50
0.775,0.5862068965517241,0.2857142857142857,0.022516556291390728,0.9166666666666666,44,0.725,0.6041666666666666,29,0.34444444444444444,44,0.9166666666666666,48
0.8,0.5689655172413793,0.2857142857142857,0.02163355408388521,0.9148936170212766,43,0.725,0.6170212765957447,29,0.34444444444444444,43,0.9148936170212766,47
0.85,0.5,0.2571428571428571,0.018101545253863136,0.972972972972973,36,0.65,0.7027027027027027,26,0.3111111111111111,36,0.972972972972973,37
0.9,0.39655172413793105,0.22857142857142856,0.0141280353200883,1.0,28,0.575,0.8214285714285714,23,0.2777777777777778,28,1.0,28
0.905,0.3793103448275862,0.2,0.012362030905077263,1.0,24,0.55,0.9166666666666666,22,0.25555555555555554,24,1.0,24
0.95,0.3275862068965517,0.2,0.009713024282560706,1.0,19,0.475,1.0,19,0.2222222222222222,19,1.0,19
